α1,p1,q1,c1_1,c2_1,diff
0.0001,1.5000000000001044,1.6454631887251772,3.2938276544352302e-21,1.499999999999931,-1.499999999999931
0.0002,1.5000000000001044,1.660798839212985,1.0545520727227585e-19,1.499999999999931,-1.499999999999931
0.0003,1.5000000000001044,1.6701499053182656,8.012010807562082e-19,1.499999999999931,-1.499999999999931
0.0004,1.5000000000001044,1.6769359255540768,3.377943900889819e-18,1.499999999999931,-1.499999999999931
0.0005,1.5000000000001044,1.6822775978700069,1.0313824633529548e-17,1.4999999999999305,-1.4999999999999305
0.0006,1.5000000000001044,1.6866880499811345,2.567693843376063e-17,1.4999999999999303,-1.4999999999999303
0.0007,1.5000000000001044,1.690446488864703,5.552575550122044e-17,1.4999999999999294,-1.4999999999999294
0.0008,1.5000000000001044,1.6937221636869533,1.0831073962447204e-16,1.4999999999999283,-1.4999999999999283
0.0009,1.5000000000001044,1.6966256156891575,1.9527716692899892e-16,1.4999999999999265,-1.4999999999999263
0.001,1.5000000000001044,1.699233112983477,3.3086914734808846e-16,1.4999999999999232,-1.499999999999923
0.0011,1.5000000000001044,1.701599540757432,5.33134851340575e-16,1.4999999999999185,-1.499999999999918
0.0012,1.5000000000001044,1.7037657381949969,8.241329443841288e-16,1.4999999999999116,-1.4999999999999107
0.0013,1.5000000000001044,1.7057629300609367,1.2303402317775014e-15,1.4999999999999025,-1.4999999999999012
0.0014,1.5000000000001044,1.7076155344587214,1.7830605162898544e-15,1.4999999999998896,-1.4999999999998879
0.0015,1.5000000000001044,1.7093430131551128,2.5188346712000605e-15,1.4999999999998725,-1.49999999999987
0.0016,1.5000000000001044,1.710961131848725,3.4798519312735986e-15,1.4999999999998506,-1.499999999999847
0.0017,1.5000000000001044,1.7124828429894758,4.714362404229403e-15,1.499999999999822,-1.4999999999998173
0.0018,1.5000000000001044,1.7139189193413644,6.277090805253849e-15,1.4999999999997857,-1.4999999999997795
0.0019,1.5000000000001044,1.7152784183499996,8.229651417123762e-15,1.499999999999741,-1.4999999999997329
0.002,1.5000000000001044,1.716569028865172,1.0640964278505141e-14,1.4999999999996856,-1.499999999999675
0.0021,1.5000000000001044,1.7177973343100184,1.3587672602999113e-14,1.4999999999996174,-1.4999999999996039
0.0022,1.5000000000001044,1.7189690153810824,1.715456143151144e-14,1.499999999999535,-1.499999999999518
0.0023,1.5000000000001044,1.7200890082424047,2.1434977520526498e-14,1.4999999999994362,-1.4999999999994147
0.0024,1.5000000000001044,1.7211616294623782,2.653125046887196e-14,1.4999999999993188,-1.4999999999992923
0.0025,1.5000000000001044,1.7221906757558132,3.2555115085564604e-14,1.4999999999991802,-1.4999999999991476
0.0026,1.5000000000001044,1.7231795043995775,3.9628135001332883e-14,1.499999999999017,-1.4999999999989775
0.0027,1.499999999998328,1.7241310986541845,4.788212752666643e-14,1.5000000000000102,-1.4999999999999623
0.0028,1.499999999998328,1.7250481214259974,5.745958975755025e-14,1.4999999999997893,-1.4999999999997318
0.0029,1.4999999999965516,1.7259329596308517,6.85141259353519e-14,1.5000000000007185,-1.50000000000065
0.003,1.4999999999965516,1.7267877611156464,8.121087605687928e-14,1.5000000000004259,-1.5000000000003446
0.0031,1.4999999999965516,1.7276144656052899,9.572694574555014e-14,1.5000000000000908,-1.4999999999999951
0.0032,1.4999999999965516,1.7284148307864466,1.1225183737850738e-13,1.49999999999971,-1.4999999999995977
0.0033,1.4999999999965516,1.7291904544263064,1.309878824772621e-13,1.4999999999992777,-1.4999999999991467
0.0034,1.4999999999947753,1.7299427932268394,1.5215067536344763e-13,1.4999999999999738,-1.4999999999998217
0.0035,1.499999999992999,1.7306731789741683,1.7596950807890565e-13,1.5000000000006082,-1.5000000000004323
0.0036,1.499999999992999,1.7313828324412137,2.0268780657867418e-13,1.499999999999992,-1.4999999999997893
0.0037,1.499999999992999,1.7320728754066628,2.3256356819792693e-13,1.499999999999303,-1.4999999999990705
0.0038,1.4999999999912226,1.7327443410861565,2.6586980039062947e-13,1.4999999999997191,-1.4999999999994533
0.0039,1.4999999999894462,1.7333981832230507,3.028949607442962e-13,1.500000000000049,-1.4999999999997462
0.004,1.4999999999894462,1.7340352840429754,3.4394339827990583e-13,1.4999999999991027,-1.4999999999987588
