Method,RRN,Σw,μ
BS,3.9272605396050817e-16,1.0000000000000002,0.1
GMRES,4.625691609803286e-10,0.9999999999781037,0.10000000012954707
CG,3.459723261966644e-5,0.999999998089394,0.10000000728100493
