Asset,Weights
Asset_1,-0.01996807386546465
Asset_2,-0.01573067606406694
Asset_3,-0.017033125445457854
Asset_4,0.01746131106947072
Asset_5,0.005811759738696291
Asset_6,-0.01980166481145407
Asset_7,-0.009378876382500746
Asset_8,0.01122005139281802
Asset_9,-0.003514146163146176
Asset_10,0.004508914463022656
Asset_11,-0.008267998967299425
Asset_12,0.002907884555734702
Asset_13,0.011748383447295573
Asset_14,-0.021273426865979547
Asset_15,-0.015166873825808044
Asset_16,-0.015623179687180735
Asset_17,-0.008211233806440833
Asset_18,-0.004132555038447138
Asset_19,0.013462391674206148
Asset_20,-0.021679870992293477
Asset_21,-0.011409395912419568
Asset_22,-0.006519379811723834
Asset_23,-0.04462004786781773
Asset_24,-0.033417179092356114
Asset_25,0.012489360119498921
Asset_26,-0.027063818531339257
Asset_27,0.04217293929317855
Asset_28,-0.0064190731176271805
Asset_29,-0.028370429032140786
Asset_30,-0.029607361209849165
Asset_31,-0.014113810857817027
Asset_32,-0.01783461249244943
Asset_33,-0.013461423844034245
Asset_34,-0.02696503164139961
Asset_35,-0.02192135186653215
Asset_36,-0.019270614323155705
Asset_37,-0.010772224244474245
Asset_38,-0.027731468476597312
Asset_39,0.0063617949849333055
Asset_40,-0.01080106978098753
Asset_41,0.008808911101253659
Asset_42,0.0037411942181511944
Asset_43,-0.006200475357922277
Asset_44,-0.011449028139596975
Asset_45,-0.0010710994917427516
Asset_46,-0.00108348246548978
Asset_47,-0.035035788125526365
Asset_48,0.003815206333308113
Asset_49,0.003733849519986551
Asset_50,-0.02331166520450536
Asset_51,-0.007372115332786144
Asset_52,0.0019408666348754882
Asset_53,-0.005117391729345786
Asset_54,0.00253442774025923
Asset_55,0.013304651354263453
Asset_56,0.0034721554383052326
Asset_57,0.009874668161659486
Asset_58,0.00723600016263078
Asset_59,-0.016837868858092932
Asset_60,0.004444103376383361
Asset_61,0.01083119979917109
Asset_62,0.00164412627706372
Asset_63,-0.016734982162856103
Asset_64,-0.012712932269355517
Asset_65,0.011791692115886997
Asset_66,-0.013365822682108992
Asset_67,0.0036264244887852276
Asset_68,-0.01973162583759315
Asset_69,-0.0027992763087018365
Asset_70,-0.0074139876974473355
Asset_71,0.008010154179788473
Asset_72,0.00029164699527771534
Asset_73,-0.009502267189196703
Asset_74,0.006139553816193737
Asset_75,0.025944178678753732
Asset_76,-0.008865286253858896
Asset_77,0.001414442867062993
Asset_78,-0.012972451761768589
Asset_79,0.016825146699244287
Asset_80,-0.006350930225989016
Asset_81,0.013567952006343354
Asset_82,-0.000899403109498578
Asset_83,-0.01900852414790301
Asset_84,-0.0015655482052017002
Asset_85,0.02897794224418488
Asset_86,-0.0012350630886648923
Asset_87,-0.026328817941100476
Asset_88,0.005999188226168342
Asset_89,0.00793457340564603
Asset_90,-0.017532194327560882
Asset_91,0.01930090848266547
Asset_92,0.017691414430801532
Asset_93,0.008423351499826825
Asset_94,-0.009212866579720421
Asset_95,0.022564310728979343
Asset_96,0.012057440101695157
Asset_97,-0.002667564068752851
Asset_98,0.017374663101923326
Asset_99,-0.0030316038736928684
Asset_100,-0.006990269479676753
Asset_101,-4.574312675449494e-5
Asset_102,-0.00629689526984993
Asset_103,0.012635822924112451
Asset_104,0.002465195753708506
Asset_105,0.005763828487977005
Asset_106,0.021818702236842014
Asset_107,-0.011068445039871824
Asset_108,-0.0080491325410376
Asset_109,-0.0004940484080165024
Asset_110,-0.0048265359664147545
Asset_111,0.005509473170010067
Asset_112,0.02631519371705267
Asset_113,0.01488591445847157
Asset_114,0.010540769636422375
Asset_115,0.012119633508665685
Asset_116,-0.016803297768377447
Asset_117,-0.01347928579504365
Asset_118,0.013104386687063978
Asset_119,0.012323176838441642
Asset_120,0.00022560072156857202
Asset_121,-0.012022854835848114
Asset_122,0.007348561051995275
Asset_123,0.007267774149339682
Asset_124,0.006885369879006711
Asset_125,0.023890499787380677
Asset_126,-0.0047724611933289566
Asset_127,0.005812634604056936
Asset_128,0.01478128913479168
Asset_129,-0.002768306068691693
Asset_130,0.014707700816697684
Asset_131,0.002072984987484317
Asset_132,0.015693589970647705
Asset_133,0.021583149696981257
Asset_134,0.011557385675310748
Asset_135,0.01491341765802706
Asset_136,0.03186533522057174
Asset_137,0.002148856390463899
Asset_138,0.02212075708788931
Asset_139,0.0027856221424002307
Asset_140,0.0003940137974100349
Asset_141,0.019129605055142038
Asset_142,-0.0035698915365856344
Asset_143,0.01143621277073309
Asset_144,0.0023894076249580494
Asset_145,0.022518754780421087
Asset_146,0.02232366638257794
Asset_147,0.01263930250628421
Asset_148,0.026863285228949554
Asset_149,0.003995660261975443
Asset_150,0.0025678560456647323
Asset_151,0.035348718757878324
Asset_152,0.0033017609325275087
Asset_153,-0.0023628651118014934
Asset_154,-0.00014067098519869942
Asset_155,0.02564021151616105
Asset_156,-0.011250049615239087
Asset_157,0.0036869504236659626
Asset_158,0.014672636345425302
Asset_159,0.00530437930236309
Asset_160,0.002218405718360508
Asset_161,0.03627320219222365
Asset_162,0.0018560151666573393
Asset_163,-0.0025436160975867185
Asset_164,0.013617977109489398
Asset_165,0.011734459998201045
Asset_166,0.020105717836180606
Asset_167,0.03103639455013627
Asset_168,0.003986972628036619
Asset_169,0.004313366521462281
Asset_170,-0.0038974227442525023
Asset_171,-0.0027213705612127554
Asset_172,0.0026227480385837506
Asset_173,0.0016386008047149093
Asset_174,0.0002674465352263752
Asset_175,0.0026503117429978597
Asset_176,7.57319134783182e-5
Asset_177,0.012812075419298179
Asset_178,0.011931296228485213
Asset_179,-0.009218909296510255
Asset_180,0.00642086088830221
Asset_181,0.023029940986603895
Asset_182,0.003627548030994376
Asset_183,-0.009783063887618336
Asset_184,-0.005354669985406902
Asset_185,-0.0006924011807636391
Asset_186,-0.004091125794219004
Asset_187,0.011134969636061344
Asset_188,0.0045900506118361425
Asset_189,0.020622379801775573
Asset_190,0.018269525453551438
Asset_191,0.009595595345053805
Asset_192,0.013118359093307828
Asset_193,-0.00132350425257442
Asset_194,0.002816178787973885
Asset_195,0.019747647601303146
Asset_196,0.026756999439611576
Asset_197,0.025177346786857086
Asset_198,-0.00045183898172088946
Asset_199,0.011240896783824198
Asset_200,0.014204903081820068
Asset_201,-0.013474847785337146
Asset_202,-0.009778989906059504
Asset_203,-0.0043139316216993595
Asset_204,-0.0011214806707225198
Asset_205,-0.002101843787543387
Asset_206,-0.016719994807477795
Asset_207,-0.008465028394902657
Asset_208,-0.0022068643023829054
Asset_209,-0.025349334945017562
Asset_210,-0.004539563538120038
Asset_211,-0.0030461463200474035
Asset_212,0.006436350780729326
Asset_213,0.007464653728596234
Asset_214,-0.001071150031312958
Asset_215,0.011546346025984927
Asset_216,-0.004645195536060017
Asset_217,-0.007826047636630813
Asset_218,-0.02326449241423681
Asset_219,0.02169991123245514
Asset_220,0.013017960829982472
Asset_221,-0.015706542971815615
Asset_222,0.0022403646494054833
Asset_223,-0.013367556677212141
Asset_224,0.0016989379484413118
Asset_225,-0.0012076622235954655
Asset_226,0.007190717369822128
Asset_227,0.01654724731751087
Asset_228,-0.017880172427850265
Asset_229,-0.010386303124833659
Asset_230,-0.005754256762511798
Asset_231,-0.004081600023946522
Asset_232,0.010863090837691061
Asset_233,0.0048847045020113875
Asset_234,0.00035138127551522685
Asset_235,0.0011707264563755938
Asset_236,0.020486208883105823
Asset_237,-0.003579346106620058
Asset_238,0.022343731854102968
Asset_239,-0.008781658086348742
Asset_240,0.02260216713256473
Asset_241,0.0060915157050207246
Asset_242,-0.005239667461268145
Asset_243,-0.008151411715302299
Asset_244,-0.008717255110503114
Asset_245,-0.0007979645747361746
Asset_246,-0.008422872391296311
Asset_247,0.0004033122039342906
Asset_248,-0.01332954865256784
Asset_249,0.021985034764078364
Asset_250,0.010174796881233822
Asset_251,0.010759991740840358
Asset_252,-0.0072984358415950235
Asset_253,-0.0015734152773795639
Asset_254,-0.022586509033073757
Asset_255,0.004530497623975071
Asset_256,-0.009120948565881377
Asset_257,-0.003902972623457839
Asset_258,0.0036068111659357405
Asset_259,0.011637407096659263
Asset_260,-0.011153390638400347
Asset_261,0.02136742202523673
Asset_262,0.0019233279753608848
Asset_263,-0.013523753127941646
Asset_264,-0.0026859485285928367
Asset_265,-0.00660707691853874
Asset_266,-0.0008534131990528587
Asset_267,0.005907254981818303
Asset_268,0.0015099703152847666
Asset_269,-0.00535264780775618
Asset_270,0.001613316293773454
Asset_271,0.01134340480751413
Asset_272,-0.008382231224844907
Asset_273,-0.018910753585530266
Asset_274,-0.004200145016082063
Asset_275,-0.0001010275975177264
Asset_276,-0.0001133142534339178
Asset_277,-0.010127557200567681
Asset_278,0.0052866854712292815
Asset_279,0.010862266639266108
Asset_280,-0.022405757683925005
Asset_281,-0.0007642730639374193
Asset_282,-0.008258866182351766
Asset_283,0.018620178105852987
Asset_284,-0.004698924979864051
Asset_285,0.01565709142127657
Asset_286,0.002794052871953029
Asset_287,-0.00818477378055393
Asset_288,0.011422061275847686
Asset_289,0.002814261450195407
Asset_290,0.00949821185157423
Asset_291,-0.0033192673779793617
Asset_292,-0.0031824503114733197
Asset_293,0.00217766515494791
Asset_294,-0.0016446401173706578
Asset_295,0.00397428161972552
Asset_296,0.0181359009475537
Asset_297,0.020364814491765623
Asset_298,0.008387100784035048
Asset_299,0.021704185445035416
Asset_300,-0.0036479815315577824
Asset_301,0.00966701593300972
Asset_302,-0.004136259087355324
Asset_303,-0.0060034156099203284
Asset_304,0.02599082774165484
Asset_305,0.0004228206345751261
Asset_306,0.007820383178603202
Asset_307,0.011157824132938397
Asset_308,0.006415649998249705
Asset_309,0.020589012702966383
Asset_310,0.022874781576413667
Asset_311,-0.00813853500986286
Asset_312,-0.0051631429363673004
Asset_313,0.0059577886666269874
Asset_314,0.008959701777117517
Asset_315,-0.0002094668119662319
Asset_316,-0.014252768471155464
Asset_317,0.006497227429960496
Asset_318,-0.004852583150040772
Asset_319,0.0025120619293896316
Asset_320,-0.007270354080951551
Asset_321,0.007327392997323547
Asset_322,0.0014324858098330865
Asset_323,0.002463210714034645
Asset_324,-0.008186023410350284
Asset_325,0.011047125797437352
Asset_326,0.024183398003376724
Asset_327,0.007866804374674598
Asset_328,0.015705099853850085
Asset_329,0.010757215431489657
Asset_330,0.019617523647430326
Asset_331,0.005309771634166789
Asset_332,0.008035281620271098
Asset_333,0.01303775691200835
Asset_334,0.012010372182386963
Asset_335,0.01102938704861258
Asset_336,0.014821343268470675
Asset_337,0.011998441826612022
Asset_338,-0.0009822192689335392
Asset_339,-0.0013729167611268623
Asset_340,-0.00684164249078442
Asset_341,0.017730472324860254
Asset_342,0.019738196018413187
Asset_343,0.004849556942535288
Asset_344,0.01496678225298839
Asset_345,0.021120223487626117
Asset_346,-0.007368337142950333
Asset_347,0.0007596646447643079
Asset_348,-0.009262627106020183
Asset_349,0.01928123509069346
Asset_350,0.02539932914413797
Asset_351,-0.0007343320072439489
Asset_352,-0.0011970656071884583
Asset_353,-0.006016295908238867
Asset_354,0.00019600661053563513
Asset_355,0.00617429808729406
Asset_356,-0.003825951553406783
Asset_357,-0.02761220075668774
Asset_358,-0.008623752591629754
Asset_359,-0.0067136905890057014
Asset_360,0.011203632635528607
Asset_361,0.020266961858395806
Asset_362,-0.005940043616017235
Asset_363,-0.018300550086486313
Asset_364,-0.002462937074870727
Asset_365,0.004679086715889616
Asset_366,8.98755654493096e-5
Asset_367,-0.00853618542527405
Asset_368,0.00690021875623138
Asset_369,0.002410824992593844
Asset_370,-0.01245739098894292
Asset_371,-0.016473819281284524
Asset_372,0.0198579727457617
Asset_373,-0.009924906363740493
Asset_374,-0.013725827580475523
Asset_375,-0.02059873969618253
Asset_376,-0.015387526631934108
Asset_377,-0.008703210013867676
Asset_378,0.0019131572345531956
