Asset,Weights
Asset_1,-0.01433522094286021
Asset_2,-0.014216584718740731
Asset_3,-0.013636503751812981
Asset_4,0.014612240613892439
Asset_5,0.0038039185017754336
Asset_6,-0.017606132473436304
Asset_7,-0.011180433994453549
Asset_8,0.00912647131066072
Asset_9,-0.003291286373347086
Asset_10,0.0031045009024759946
Asset_11,-0.0063854709423702295
Asset_12,-0.002100200186067739
Asset_13,0.009293349999497089
Asset_14,-0.017734876259158257
Asset_15,-0.015539567286911313
Asset_16,-0.014533616583540009
Asset_17,-0.005636593143718345
Asset_18,-0.005037050271194738
Asset_19,0.012237816232746493
Asset_20,-0.02266958761780201
Asset_21,-0.012409445918673464
Asset_22,-0.00529220363369439
Asset_23,-0.04313364412226035
Asset_24,-0.03124498744575644
Asset_25,0.010936866894128629
Asset_26,-0.02663133345614399
Asset_27,0.03826907761125572
Asset_28,-0.007942310339797696
Asset_29,-0.027034457838809704
Asset_30,-0.03023837844591948
Asset_31,-0.014805320709815252
Asset_32,-0.01919673438369555
Asset_33,-0.014448484162403545
Asset_34,-0.025214371767100917
Asset_35,-0.021683150598686047
Asset_36,-0.01935606205457392
Asset_37,-0.010123946833588195
Asset_38,-0.025884211120064657
Asset_39,0.006950249267275492
Asset_40,-0.011624556240650718
Asset_41,0.007906252394426909
Asset_42,0.0027427185155290685
Asset_43,-0.006567021027678274
Asset_44,-0.011738694028189329
Asset_45,-0.002686491582046765
Asset_46,-7.562840482377875e-5
Asset_47,-0.03391287716068128
Asset_48,0.0021434524494999877
Asset_49,0.00541515592971619
Asset_50,-0.021949030248031947
Asset_51,-0.0055827643961667015
Asset_52,0.0029931564424921153
Asset_53,-0.007130074802219852
Asset_54,0.001274791433042651
Asset_55,0.013482176935093373
Asset_56,0.002277235215403511
Asset_57,0.008090128870758145
Asset_58,0.008233081223986269
Asset_59,-0.01654923485880464
Asset_60,0.004424285775827687
Asset_61,0.01214277664751333
Asset_62,0.002154492214834958
Asset_63,-0.016625365900789186
Asset_64,-0.01271357110812212
Asset_65,0.01207831586488975
Asset_66,-0.013200609782410597
Asset_67,0.005488195715100881
Asset_68,-0.019448151305674937
Asset_69,-0.0040245479761356565
Asset_70,-0.006096166830253188
Asset_71,0.007054412037447739
Asset_72,0.0006539936320148537
Asset_73,-0.010167074691391952
Asset_74,0.005346396572084015
Asset_75,0.026861052315758544
Asset_76,-0.008680828823940934
Asset_77,0.002298869877039332
Asset_78,-0.01157742381124567
Asset_79,0.016147160124186665
Asset_80,-0.0064090101144235285
Asset_81,0.012897737681066591
Asset_82,-0.002135527380614622
Asset_83,-0.021072150880877705
Asset_84,-0.002271649381808322
Asset_85,0.027656541142604362
Asset_86,-0.000997724316694919
Asset_87,-0.026430207084580742
Asset_88,0.0062956094160265316
Asset_89,0.006989236354975271
Asset_90,-0.016265600294322898
Asset_91,0.018810850209149004
Asset_92,0.017970159187639893
Asset_93,0.008989890900486117
Asset_94,-0.007974169446171535
Asset_95,0.02305692716866304
Asset_96,0.011890704260516461
Asset_97,-0.0033231783392029604
Asset_98,0.017550697383475033
Asset_99,-0.002415339204375095
Asset_100,-0.006844804961661451
Asset_101,-0.0002596871852975427
Asset_102,-0.006003001061688247
Asset_103,0.012029361989835332
Asset_104,0.0018253339090315345
Asset_105,0.0073286221565129345
Asset_106,0.021690496585756662
Asset_107,-0.009246087729171982
Asset_108,-0.009607210154202935
Asset_109,-0.0004239412436409345
Asset_110,-0.0038777536522820837
Asset_111,0.004799840566185589
Asset_112,0.025269636702835108
Asset_113,0.01619268816165373
Asset_114,0.011521086874994948
Asset_115,0.012371048473859846
Asset_116,-0.018066945522296506
Asset_117,-0.013511002429935174
Asset_118,0.011934574063876635
Asset_119,0.011943639193877847
Asset_120,0.0003461395002385072
Asset_121,-0.012234450480955375
Asset_122,0.007518654992323814
Asset_123,0.006234848071889211
Asset_124,0.007789520469565069
Asset_125,0.023229567093700675
Asset_126,-0.0054016530559512065
Asset_127,0.00581549909843939
Asset_128,0.014841005352249534
Asset_129,-0.003263414277619521
Asset_130,0.014410212375513166
Asset_131,0.0004705032973470973
