Method,RRN,Σw,μ
BS,4.899442489948675e-16,0.9999999999999996,0.10000000000000014
GMRES,4.62569186026463e-10,0.9999999999781032,0.10000000012954711
CG,4.6050785512754344e-5,0.9999999921519486,0.10000003430423629
