α1,p1,q1,c1_1,c2_1,diff
0.0001,1.8909409855395198,1.499999999999452,0.319167045985176,1.1808329540142761,-0.8616659080291001
0.0002,1.9709499273281452,1.499999999999694,0.3595992847458641,1.14040071525383,-0.7808014305079659
0.0003,2.0270797708388772,1.5000000000009108,0.38509976571066173,1.114900234290249,-0.7298004685795872
0.0004,2.071972951985331,1.4999999999999432,0.40403103854064015,1.0959689614593031,-0.691937922918663
0.0005,2.1101074584813295,1.5000000000002487,0.4191949500654769,1.0808050499347717,-0.6616100998692948
0.0006,2.1436502416191,1.4999999999990261,0.4318945829591312,1.068105417039895,-0.6362108340807637
0.0007,2.173833797071449,1.4999999999993254,0.44284787878074444,1.057152121218581,-0.6143042424378367
0.0008,2.2014337096006598,1.4999999999997384,0.4524946322873071,1.0475053677124313,-0.5950107354251242
0.0009,2.226973319535719,1.5000000000005909,0.46112471984829356,1.0388752801522974,-0.5777505603040038
0.001,2.2508243376941905,1.499999999999243,0.4689397704985547,1.0310602295006883,-0.5621204590021336
0.0011,2.2732613688453904,1.5000000000000004,0.476085948665676,1.0239140513343243,-0.5478281026686483
0.0012,2.294493701685554,1.5000000000009728,0.48267274134814486,1.017327258652828,-0.534654517304683
0.0013,2.314684934741434,1.5000000000007312,0.48878437623640275,1.0112156237643284,-0.5224312475279256
0.0014,2.333965663225552,1.500000000000213,0.49448709719225786,1.005512902807955,-0.5110258056156971
0.0015,2.352441996809443,1.499999999999558,0.49983398408737595,1.000166015912182,-0.5003320318248059
0.0016,2.370201462725257,1.499999999999561,0.50486825174559,0.995131748253971,-0.49026349650838097
0.0017,2.3873172088397983,1.499999999999249,0.509625571490786,0.9903744285084631,-0.4807488570176771
0.0018,2.403851066674152,1.5000000000006946,0.514135744443873,0.9858642555568214,-0.47172851111294845
0.0019,2.419855829409342,1.4999999999999025,0.5184239329905332,0.9815760670093693,-0.46315213401883604
0.002,2.43537697629946,1.4999999999996008,0.5225115838341208,0.9774884161654801,-0.4549768323313593
0.0021,2.4504539990143135,1.5000000000007099,0.5264171312117795,0.9735828687889304,-0.44716573757715095
0.0022,2.4651214361366756,1.4999999999999791,0.5301565404449284,0.9698434595550507,-0.43968691911012225
0.0023,2.4794096902214156,1.5000000000002867,0.5337437335765447,0.966256266423742,-0.43251253284719726
0.0024,2.493345680735109,1.5000000000005107,0.537190926624224,0.9628090733762866,-0.42561814675206266
0.0025,2.5069533710603165,1.5000000000009104,0.5405088996584779,0.9594911003424323,-0.4189822006839544
0.0026,2.520254198028587,1.4999999999999298,0.5437072152065895,0.9562927847933405,-0.41258556958675097
0.0027,2.5332674249287583,1.5000000000005071,0.5467943964436149,0.9532056035568921,-0.40641120711327716
0.0028,2.5460104341197534,1.499999999999845,0.5497780737774733,0.9502219262223717,-0.40044385244489833
0.0029,2.5584989710995627,1.500000000000533,0.5526651063362166,0.9473348936643162,-0.39466978732809965
0.003,2.5707473497647744,1.49999999999987,0.5554616833733028,0.9445383166265673,-0.38907663325326447
0.0031,2.582768625823911,1.4999999999996796,0.5581734094478897,0.9418265905517899,-0.3836531811039001
0.0032,2.5945747444182974,1.500000000000174,0.5608053764199202,0.9391946235802537,-0.3783892471603335
0.0033,2.606176666327411,1.4999999999998852,0.5633622246378599,0.9366377753620253,-0.3732755507241654
0.0034,2.6175844764108236,1.5000000000003189,0.5658481952154035,0.9341518047849154,-0.3683036095695119
0.0035,2.6288074773562755,1.500000000000084,0.5682671749207966,0.9317328250792873,-0.36346565015849075
0.0036,2.639854270922319,1.5000000000000662,0.5706227348944329,0.9293772651056333,-0.3587545302112004
0.0037,2.6507328287929295,1.4999999999998075,0.5729181641953989,0.9270818358044086,-0.35416367160900974
0.0038,2.661450554507792,1.4999999999995361,0.5751564989824689,0.9248435010170672,-0.34968700203459835
0.0039,2.6720143378467007,1.5000000000007998,0.5773405479983533,0.9226594520024465,-0.34531890400409315
0.004,2.6824306028191334,1.4999999999996285,0.5794729149097629,0.9205270850898656,-0.34105417018010264
0.0041,2.6927053498984876,1.5000000000006959,0.581556017948777,0.918443982051919,-0.33688796410314203
0.0042,2.702844193765734,1.4999999999998974,0.5835921072572752,0.9164078927426224,-0.3328157854853472
0.0043,2.71285239659091,1.4999999999995695,0.585583280228428,0.9144167197711415,-0.3288334395427135
0.0044,2.722734897946662,1.49999999999909,0.5875314951368013,0.9124685048622888,-0.32493700972548756
0.0045,2.732496341439128,1.4999999999997953,0.5894385832689267,0.9105614167308685,-0.3211228334619418
0.0046,2.7421410986956176,1.4999999999991684,0.5913062597573359,0.9086937402418326,-0.3173874804844967
0.0047,2.751673290780153,1.5000000000008211,0.59313613327173,0.9068638667290911,-0.31372773345736116
0.0048,2.761096807733204,1.500000000000093,0.5949297147242908,0.9050702852758022,-0.31014057055151145
0.0049,2.770415325937176,1.4999999999990488,0.5966884250878083,0.9033115749112405,-0.3066231498234322
0.005,2.7796323240466183,1.4999999999995846,0.5984136024515503,0.9015863975480343,-0.303172795096484
0.0051,2.7887510974120975,1.500000000000163,0.6001065083942301,0.899893491605933,-0.29978698321170294
0.0052,2.7977747711256358,1.499999999999182,0.6017683337505347,0.8982316662486474,-0.29646333249811263
0.0053,2.806706311886649,1.4999999999993214,0.6034002038410989,0.8965997961582224,-0.29319959231712345
0.0054,2.815548538944199,1.5000000000008096,0.6050031832299559,0.8949968167708536,-0.2899936335408977
0.0055,2.824304134058708,1.499999999999249,0.6065782800543901,0.893421719944859,-0.2868434398904689
0.0056,2.832975650440486,1.500000000000147,0.6081264499670003,0.8918735500331468,-0.28374710006614656
0.0057,2.8415655213045907,1.4999999999998053,0.6096485997510811,0.8903514002487242,-0.28070280049764307
0.0058,2.850076067374075,1.5000000000000058,0.6111455906154034,0.8888544093846023,-0.27770881876919884
0.0059,2.8585095040137682,1.5000000000006595,0.6126182412230233,0.887381758777636,-0.2747635175546127
0.006,2.866867947724576,1.5000000000001759,0.614067330468599,0.8859326695315769,-0.27186533906297794
0.0061,2.875153422097765,1.4999999999990612,0.6154936000302182,0.8845063999688431,-0.2690127999386248
0.0062,2.883367863357136,1.499999999999596,0.6168977567202569,0.8831022432793392,-0.26620448655908224
0.0063,2.8915131255601505,1.4999999999992881,0.6182804746553977,0.8817195253438903,-0.2634390506884926
0.0064,2.8995909852448367,1.4999999999995248,0.6196423972533797,0.880357602746145,-0.2607152054927654
0.0065,2.9076031459061555,1.4999999999993179,0.6209841390848895,0.8790158609144283,-0.2580317218295388
0.0066,2.915551242031853,1.4999999999998046,0.6223062875828902,0.8776937124169145,-0.2553874248340243
0.0067,2.923436842953551,1.5000000000000902,0.6236094046301531,0.8763905953699371,-0.252781190739784
0.0068,2.931261456356806,1.4999999999996345,0.6248940280291987,0.8751059719704359,-0.25021194394123725
0.0069,2.9390265315495636,1.5000000000005596,0.6261606728674027,0.8738393271331569,-0.2476786542657542
0.007,2.946733462631151,1.4999999999999885,0.6274098327906246,0.872590167209364,-0.24518033441873943
0.0071,2.954383591249157,1.4999999999994085,0.6286419811811972,0.8713580188182114,-0.24271603763701421
0.0072,2.9619782093420977,1.499999999999837,0.6298575722615706,0.8701424277382664,-0.24028485547669587
0.0073,2.9695185616689215,1.5000000000003686,0.6310570421222669,0.8689429578781016,-0.23788591575583473
0.0074,2.9770058481253576,1.5000000000009903,0.6322408096796368,0.8677591903213535,-0.2355183806417167
0.0075,2.9844412259749977,1.500000000000436,0.6334092775730129,0.8665907224274233,-0.2331814448544104
0.0076,2.9918258118672196,1.500000000000085,0.6345628330011217,0.8654371669989633,-0.23087433399784163
